,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"
A social design system. ",,SOCIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,TECH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,DESIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,,Honest Beauty,,,,,FILM,,,,,,,,,,LET'S BE HONEST,,,,,,,"Jessica Alba was launching a new beauty brand based on the same concept as her Honest Baby products—just clean, honest ingredients with nothing bad in there to worry about. To support the launch, I worked directly with Jessica to make a web film that showcased the worries women have going on inside their heads.",,,,,,#F3C3C2,,,,,,,#000000
,,,,,,"Launch film for Jessica’s Alba’s 
beauty brand. ",,FASHION / BEAUTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15,,Von Drenik,,,,,DESIGN ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Leather goods & accessories brand designed and created by moi. ,,FASHION / BEAUTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16,,Ion360,,,,,FILM  ,,,,,,,,,,LIVE IN THE WOW,,,,,,,"A 360-degree camera for your smartphone wanted to make a 360-degree launch campaign. Working direct-to-client, as a freelance agency of one, I put together an all-star team of partners, collaborated, pulled some favors and oversaw the creation for everything from soup to nuts. Branding, packaging, OLVs, and a big broadcast moment on the Billboard music awards. And I did it all in just a couple of months.",,,,,,#FFE397,,,,,,,#000000
,,,,,,"Launch of a 360 camera
for your smart phone. 

 ",,TECH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,SOCIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17,,Asics,,,,,FILM  ,,,,,,,,,,I MOVE ME,,,,,,,"Asics launched #IMoveMe to expand beyond its core running audience, with the philosophy that moving your body moves your mind—anchored by the ""Wake Up"" spot and supported across OOH, print, social film, and apparel.",,,,,,#160D4D,,,,,,,#FFFFFF
,,,,,,A running campaign to reach beyond runners.,,SPORTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18,,Nike,,,,,FILM  ,,,,,,,,,,PRETTY,,,,,,,"The brief: create a brand spot for Maria Sharapova. Make it as disruptive as the ones made for men. We created Pretty to dispel, and make fun of, the silly myth that Grand Slam winner and Olympic Silver medalist, Maria Sharapova is just a pretty face. 

And we won gold of our own: Cannes Gold Lion",,,,,,#DBDBDB,,,,,,,#2600FF
,,,,,,Just Do It spot for Maria Sharapova.  ,,SPORTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
